,code,score,ranking,ra,dec,lens_spec_z,lens_cw_photo_z_med,lens_cw_stmass_med,einstein_radius,F115W_lens_magnitude_ab,F150W_lens_magnitude_ab,F277W_lens_magnitude_ab,F444W_lens_magnitude_ab,F115W_source_magnitude_ab,F150W_source_magnitude_ab,F277W_source_magnitude_ab,F444W_source_magnitude_ab,F115W_magnification,F150W_magnification,F277W_magnification,F444W_magnification
67,COSJ100202+021902,S07,AABBBU,150.51100276731657,2.3174660462620555,-99.0,1.1139,10.89974,0.4550292561939932,20.51146346427619,20.07834024804508,17.819007133113608,17.79282153613503,25.40318973865294,24.223138706426028,23.045762391008978,23.057450462021563,2.2613964200745276,2.4216901377011593,2.7781434294692398,2.7975005497613377
68,COSJ100030+022026,S07,AABBBU,150.12836413848757,2.340788616117586,-99.0,1.009,10.30671,0.8230360409354394,21.083732022117353,20.613191382705935,18.470150166020353,18.58925858098227,23.40955199353141,23.95867826744395,22.820420315873612,23.91891788298552,1.8921296613591803,2.2854722896787623,2.6390504979940164,2.143626831952232
69,COSJ095951+022847,S07,AABBBU,149.96308640897232,2.4799453364349553,0.3833000063896179,0.3364,8.402,0.8243303158925191,22.206469173567925,21.96284171217527,20.54982994575071,21.18682368616718,26.324434823269126,25.391074852147817,24.817520487285183,24.943506753062607,4.6076515864672345,5.406132185375714,5.53524147055175,5.4082350586487955
70,COSJ095944+022008,S07,AAASXX,149.93451082112335,2.335714178370047,0.699999988079071,0.6891,9.8544,0.7991181784592786,20.90026308402519,20.682397894303204,18.796210376833983,19.411641677260743,22.8395449903261,22.87600735856695,21.160148197292273,21.485613884954866,2.4952433322302294,2.596719044530567,2.4477246334575065,2.421219131426631
71,COSJ100134+022037,S07,AAABXX,150.3930823619946,2.343642792859891,nan,1.8218,11.29801,0.44295635238534625,22.09571897485719,20.673768286273102,17.665142075173662,17.261547073468897,25.274251305272003,24.67064491593132,24.2764051913569,22.475783169658705,2.631435628876221,2.92072685998539,2.8050381758863647,3.2967616242767863
72,COSJ100042+022746,S07,AAABXX,150.1773696612239,2.4630019599713173,-99.0,1.6698,10.30354,0.6117682247777169,22.47479517542677,24.153572068573013,19.61429584496397,19.26708851590942,26.741542591642734,inf,23.64661123842309,23.69918043080513,1.9622350764953236,nan,2.4226122856448176,2.47391379173697
73,COSJ100120+015834,S07,AAABUX,150.33482261114446,1.9763796273785708,0.7024999856948853,2.4403,10.05,0.22975262748732314,21.158626053807616,21.3739881487441,19.279913258863093,19.540000914439076,24.63344052939057,24.36895565103563,21.88947530440607,20.72486580308949,1.7206747452497153,1.74993686387314,1.9306571484080761,2.058990013295055
74,COSJ100044+021508,S07,AAABUX,150.18358312198555,2.252395210636485,0.5814999938011169,0.4864,10.02737,0.5245017248716326,20.784368095753685,20.169598745653225,17.80887142237723,18.27901213960319,22.621341786623507,21.436601214292185,18.72355938868376,17.909814132264305,2.966743801076176,3.0514633033555794,2.8844199580778827,2.836765584081941
75,COSJ100022+023102,S07,AAABUX,150.0948836702284,2.51734373765556,-99.0,1.3386,10.54467,0.6158100374564544,21.56171096186382,21.132474534775042,18.61955652195497,18.399631317598264,25.480556839772735,24.25818852937458,22.999516421832695,22.375533340882424,3.86662276248876,4.120057883582015,3.6509404693769807,3.588201818306858
76,COSJ100008+020758,S07,AAABUX,150.03535467112843,2.133043173824113,-99.0,0.8324,9.47649,0.697147594537466,,22.057345219171324,19.977526588974918,20.64342324495759,,25.876724134189658,24.577907561155932,24.599341273731334,,5.134053007375492,6.29936397742149,6.050497974776389
